Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
19,300,210.037,210.034,0
19,330,179.978,179.985,0
20,0,150.282,150.294,0
20,30,120.553,120.555,0
20,60,90.824,90.824,0
20,90,61.029,61.029,0
20,120,31.124,31.14,0
20,150,1.329,1.336,0
20,180,331.227,331.232,0
20,210,300.806,300.806,0
20,240,270.626,270.645,0
20,270,240.48,240.49,0
20,300,210.048,210.048,0
20,330,180.0,180.007,0
21,0,150.304,150.312,0
21,30,120.553,120.558,0
21,60,90.813,90.824,0
21,90,61.018,61.026,0
21,120,31.135,31.129,0
21,150,1.329,1.326,0
21,180,331.227,331.238,0
21,210,300.806,300.808,0
21,240,270.637,270.653,0
21,270,240.469,240.469,0
21,300,210.037,210.026,0
21,330,179.967,179.978,0
22,0,150.293,150.293,0
22,30,120.542,120.553,0
22,60,90.813,90.824,0
22,90,61.051,61.039,0
22,120,31.157,31.153,0
22,150,1.329,1.34,0
22,180,331.249,331.26,0
22,210,300.806,300.812,0
22,240,270.637,270.649,0
22,270,240.458,240.479,0
22,300,210.048,210.037,0
22,330,179.967,179.989,0
23,0,150.304,150.309,0
23,30,120.553,120.556,0
23,60,90.846,90.822,0
23,90,60.996,61.018,0
23,120,31.135,31.129,0
23,150,1.318,1.336,0
23,180,331.271,331.259,0
23,210,300.817,300.822,0
23,240,270.648,270.65,0
23,270,240.469,240.468,0
23,300,210.037,210.037,0
23,330,179.967,179.986,0
24,0,150.315,150.301,0
24,30,120.553,120.553,0
24,60,90.824,90.82,0
24,90,61.029,61.029,0
24,120,31.135,31.133,0
24,150,1.329,1.327,0
24,180,331.238,331.238,0
24,210,300.795,300.817,0
24,240,270.648,270.66,0
24,270,240.491,240.491,0
24,300,210.07,210.05,0
24,330,180.011,180.0,0
25,0,150.304,150.297,0
25,30,120.553,120.553,0
25,60,90.824,90.822,0
25,90,61.007,61.029,0
25,120,31.124,31.134,0
25,150,1.318,1.33,0
25,180,331.249,331.247,0
25,210,300.806,300.813,0
25,240,270.637,270.654,0
25,270,240.469,240.476,0
25,300,210.048,210.048,0
25,330,179.978,179.995,0
26,0,150.293,150.314,0
26,30,120.542,120.563,0
26,60,90.813,90.829,0
26,90,61.029,61.031,0
26,120,31.124,31.134,0
26,150,1.307,1.332,0
26,180,331.238,331.248,0
26,210,300.806,300.817,0
26,240,270.659,270.645,0
26,270,240.48,240.47,0
26,300,210.048,210.037,0
26,330,179.989,179.981,0
27,0,150.271,150.282,0
27,30,120.531,120.549,0
27,60,90.824,90.813,0
27,90,61.029,61.032,0
