Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
52,0,341.6693,341.6759,1
52,90,70.7135,70.721,1
52,180,161.1475,161.1406,0
52,270,251.1035,251.1063,0
53,0,341.6858,341.68,1
53,90,70.7245,70.7209,0
53,180,161.131,161.1342,0
53,270,251.1035,251.1042,1
54,0,341.6803,341.6815,1
54,90,70.7355,70.7268,1
54,180,161.131,161.1311,1
54,270,251.1035,251.1038,1
55,0,341.6748,341.6775,1
55,90,70.719,70.7224,0
55,180,161.131,161.1376,1
55,270,251.109,251.1062,1
56,0,341.6803,341.6852,0
56,90,70.7245,70.7243,0
56,180,161.131,161.1305,0
56,270,251.1145,251.1076,1
57,0,341.6748,341.6805,1
57,90,70.73,70.7253,0
57,180,161.131,161.1329,0
57,270,251.1035,251.1054,1
58,0,341.6748,341.6808,1
58,90,70.708,70.7209,1
58,180,161.1475,161.139,1
58,270,251.109,251.1101,1
59,0,341.6803,341.6823,1
59,90,70.719,70.7197,1
59,180,161.142,161.1403,1
59,270,251.1145,251.1078,1
60,0,341.6803,341.6801,1
60,90,70.719,70.7197,0
60,180,161.1365,161.1423,1
60,270,251.1145,251.109,0
61,0,341.6748,341.6768,1
61,90,70.7135,70.7145,0
61,180,161.142,161.1452,0
61,270,251.1035,251.1054,1
62,0,341.6638,341.6714,0
62,90,70.7355,70.7248,1
62,180,161.1475,161.1462,0
62,270,251.1035,251.1042,0
63,0,341.6748,341.6752,0
63,90,70.73,70.7266,1
63,180,161.1475,161.146,1
63,270,251.109,251.1067,1
64,0,341.6748,341.6802,1
64,90,70.7135,70.7216,0
64,180,161.142,161.1385,0
64,270,251.109,251.1061,1
65,0,341.6748,341.677,0
65,90,70.73,70.7294,0
65,180,161.1365,161.1344,0
65,270,251.098,251.1028,1
66,0,341.6803,341.6787,1
66,90,70.7245,70.7234,0
66,180,161.1365,161.1345,0
66,270,251.109,251.1078,1
67,0,341.6748,341.6794,1
67,90,70.719,70.7208,0
67,180,161.131,161.1306,1
67,270,251.109,251.1111,1
68,0,341.6748,341.6758,0
68,90,70.7245,70.7247,0
68,180,161.1365,161.1392,0
68,270,251.1145,251.1099,1
69,0,341.6638,341.6757,1
69,90,70.719,70.716,0
69,180,161.142,161.1458,1
69,270,251.1145,251.1135,1
70,0,341.6693,341.6718,0
70,90,70.708,70.7187,1
70,180,161.1475,161.1405,1
70,270,251.1145,251.1078,1
71,0,341.6638,341.6719,0
71,90,70.719,70.721,1
71,180,161.1475,161.1454,1
71,270,251.109,251.1077,0
72,0,341.6748,341.6736,0
72,90,70.7245,70.7205,1
72,180,161.1365,161.1446,0
72,270,251.098,251.105,1
73,0,341.6748,341.6748,1
73,90,70.719,70.7283,1
73,180,161.1475,161.1412,0
73,270,251.1145,251.1052,1
74,0,341.6748,341.6743,0
74,90,70.7245,70.7236,0
74,180,161.1365,161.1433,0
74,270,251.1035,251.1096,1
75,0,341.6803,341.6769,0
75,90,70.719,70.7217,0
75,180,161.131,161.1335,1
75,270,251.109,251.1081,0
76,0,341.6803,341.6774,1
76,90,70.719,70.7267,1
76,180,161.1255,161.1318,0
76,270,251.109,251.1103,1
77,0,341.6748,341.6752,1
77,90,70.719,70.7193,0
77,180,161.1365,161.1358,0
77,270,251.1145,251.1132,1
78,0,341.6803,341.681,0
78,90,70.719,70.7165,0
78,180,161.142,161.1368,1
78,270,251.109,251.1129,1
79,0,341.6693,341.6751,1
79,90,70.7245,70.7231,1
79,180,161.142,161.138,0
79,270,251.12,251.1148,1
80,0,341.6748,341.6752,1
80,90,70.719,70.7198,0
80,180,161.1365,161.1404,0
80,270,251.1145,251.1107,0
81,0,341.6693,341.6729,0
81,90,70.7245,70.7259,1
81,180,161.131,161.1357,0
81,270,251.1145,251.1096,1
82,0,341.6638,341.6705,0
82,90,70.7355,70.7274,0
82,180,161.1475,161.1369,0
82,270,251.1035,251.1068,1
83,0,341.6748,341.6781,0
83,90,70.7245,70.7231,1
83,180,161.131,161.1338,0
83,270,251.109,251.1046,0
84,0,341.6748,341.6789,1
84,90,70.73,70.7263,1
84,180,161.1365,161.138,0
84,270,251.1035,251.106,1
85,0,341.6803,341.6815,1
85,90,70.73,70.7245,0
85,180,161.1365,161.1343,1
85,270,251.1035,251.1048,0
86,0,341.6913,341.6864,0
86,90,70.719,70.7174,0
86,180,161.1365,161.1323,0
86,270,251.109,251.1111,1
87,0,341.6748,341.6806,1
87,90,70.719,70.7194,0
87,180,161.1365,161.1344,0
87,270,251.1145,251.1122,1
88,0,341.6803,341.6771,0
88,90,70.719,70.7176,1
88,180,161.1475,161.1441,0
88,270,251.12,251.1125,1
89,0,341.6748,341.6753,0
89,90,70.7135,70.7173,0
89,180,161.1365,161.1419,1
