Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
50,180,308.32031,308.28888,0
50,270,218.23242,218.20348,48
51,0,127.33154,127.31193,12
51,90,36.51855,36.48824,56
51,180,308.30933,308.28809,62
51,270,218.24341,218.20721,50
52,0,127.30957,127.3003,8
52,90,36.51855,36.487,56
52,180,308.29834,308.2905,60
52,270,218.19946,218.20563,42
53,0,127.27661,127.29353,2
53,90,36.50757,36.4842,54
53,180,308.30933,308.28027,62
53,270,218.17749,218.20442,38
54,0,127.33154,127.29642,14
54,90,36.4856,36.48915,50
54,180,308.28735,308.27844,58
54,270,218.17749,218.19926,40
55,0,127.27661,127.29247,2
55,90,36.51855,36.49122,54
55,180,308.30933,308.2811,62
55,270,218.21045,218.19794,44
56,0,127.30957,127.29178,6
56,90,36.51855,36.47819,56
56,180,308.26538,308.27032,54
56,270,218.21045,218.19392,44
57,0,127.29858,127.2784,6
57,90,36.50757,36.48019,52
57,180,308.26538,308.26212,54
57,270,218.24341,218.19789,50
58,0,127.25464,127.25771,0
58,90,36.4856,36.47848,50
58,180,308.27637,308.27008,56
58,270,218.22144,218.19116,48
59,0,127.2876,127.26488,4
59,90,36.49658,36.48,52
59,180,308.30933,308.27054,60
59,270,218.21045,218.19887,44
60,0,127.24365,127.2625,60
60,90,36.4856,36.48082,50
60,180,308.24341,308.27191,50
60,270,218.21045,218.19687,44
61,0,127.30957,127.26184,8
61,90,36.4856,36.47857,50
61,180,308.27637,308.27536,56
61,270,218.21045,218.19566,44
62,0,127.24365,127.26265,60
62,90,36.46362,36.48388,46
62,180,308.27637,308.26776,56
62,270,218.18848,218.18637,38
63,0,127.29858,127.26128,6
63,90,36.4856,36.48397,50
63,180,308.27637,308.2684,56
63,270,218.19946,218.18987,42
64,0,127.26563,127.25536,0
64,90,36.4856,36.47282,50
64,180,308.27637,308.25891,56
64,270,218.17749,218.18892,38
65,0,127.25464,127.25793,62
65,90,36.49658,36.48103,52
65,180,308.30933,308.26172,62
65,270,218.23242,218.19098,48
66,0,127.25464,127.26237,60
66,90,36.51855,36.47509,56
66,180,308.25439,308.26007,54
66,270,218.1665,218.19002,36
67,0,127.24365,127.25209,58
67,90,36.45264,36.46866,44
67,180,308.29834,308.26227,58
67,270,218.18848,218.18939,40
68,0,127.24365,127.2434,60
68,90,36.50757,36.46508,54
68,180,308.24341,308.26474,50
68,270,218.21045,218.18623,44
69,0,127.23267,127.23342,58
69,90,36.46362,36.46333,46
69,180,308.27637,308.26532,54
69,270,218.15552,218.1767,34
70,0,127.22168,127.23112,56
70,90,36.51855,36.46756,56
70,180,308.27637,308.26901,56
70,270,218.19946,218.1725,44
71,0,127.26563,127.22699,0
71,90,36.4856,36.46305,50
71,180,308.32031,308.26453,62
71,270,218.14453,218.1701,32
72,0,127.22168,127.22139,58
72,90,36.50757,36.46669,56
72,180,308.24341,308.26556,52
72,270,218.1665,218.17004,36
73,0,127.25464,127.22617,62
73,90,36.51855,36.4782,56
73,180,308.30933,308.26181,62
73,270,218.19946,218.16823,40
74,0,127.24365,127.22515,60
74,90,36.47461,36.47194,46
74,180,308.27637,308.25204,56
74,270,218.21045,218.16942,44
75,0,127.23267,127.22375,58
75,90,36.45264,36.46215,44
75,180,308.28735,308.25549,58
75,270,218.1665,218.16953,36
76,0,127.23267,127.22948,58
76,90,36.47461,36.46068,48
76,180,308.28735,308.25824,58
76,270,218.17749,218.17241,38
77,0,127.27661,127.22359,2
77,90,36.44165,36.46044,42
77,180,308.26538,308.26074,54
77,270,218.21045,218.17305,44
78,0,127.22168,127.22066,54
78,90,36.4856,36.45745,50
78,180,308.27637,308.26294,56
78,270,218.19946,218.16969,42
79,0,127.25464,127.22016,60
79,90,36.47461,36.45631,46
79,180,308.26538,308.26785,54
79,270,218.1665,218.16664,38
80,0,127.25464,127.22665,62
80,90,36.47461,36.46073,48
80,180,308.27637,308.2662,56
80,270,218.17749,218.16525,40
81,0,127.22168,127.22433,56
81,90,36.47461,36.46507,48
81,180,308.26538,308.26056,56
81,270,218.17749,218.16754,38
82,0,127.19971,127.22027,52
82,90,36.50757,36.47308,54
82,180,308.25439,308.25522,54
82,270,218.18848,218.16736,40
83,0,127.23267,127.22686,60
83,90,36.47461,36.46659,48
83,180,308.27637,308.24811,58
83,270,218.22144,218.16669,46
84,0,127.25464,127.23444,62
84,90,36.47461,36.4755,48
84,180,308.27637,308.24777,58
84,270,218.17749,218.16129,38
85,0,127.23267,127.22881,56
85,90,36.47461,36.481,50
85,180,308.27637,308.24713,56
85,270,218.17749,218.16147,38
86,0,127.25464,127.22462,60
86,90,36.45264,36.46983,44
86,180,308.27637,308.23557,54
86,270,218.18848,218.1714,42
87,0,127.25464,127.22893,62
87,90,36.50757,36.47824,56
87,180,308.27637,308.2381,56
87,270,218.21045,218.16966,44
88,0,127.26563,127.22095,0
88,90,36.44165,36.47047,42
88,180,308.27637,308.23557,54
88,270,218.1665,218.15543,34
89,0,127.22168,127.23139,54
89,90,36.4856,36.48066,50
89,180,308.23242,308.2291,48
89,270,218.15552,218.16257,34
90,0,127.24365,127.21752,58
90,90,36.4856,36.4756,50
90,180,308.26538,308.22375,54
90,270,218.15552,218.16481,34
91,0,127.25464,127.22033,62
91,90,36.47461,36.47277,48
91,180,308.23242,308.2182,46
91,270,218.15552,218.16776,34
92,0,127.22168,127.229,56
92,90,36.51855,36.48019,56
92,180,308.23242,308.21878,48
92,270,218.19946,218.16141,44
93,0,127.21069,127.22083,54
93,90,36.4856,36.47587,50
93,180,308.23242,308.22101,50
93,270,218.15552,218.17084,34
94,0,127.19971,127.23064,54
94,90,36.45264,36.47631,44
94,180,308.23242,308.22028,48
94,270,218.17749,218.17165,38
95,0,127.19971,127.23402,54
95,90,36.44165,36.47213,42
95,180,308.26538,308.22919,54
95,270,218.17749,218.17395,38
96,0,127.22168,127.22276,56
96,90,36.51855,36.47481,56
96,180,308.24341,308.22974,52
96,270,218.15552,218.17422,34
97,0,127.24365,127.23101,60
97,90,36.51855,36.47131,54
97,180,308.22144,308.2301,48
97,270,218.18848,218.16953,40
98,0,127.26563,127.22768,0
98,90,36.49658,36.47551,50
98,180,308.23242,308.22687,48
98,270,218.1665,218.16966,36
99,0,127.22168,127.22355,56
99,90,36.47461,36.47471,48
99,180,308.24341,308.22473,50
99,270,218.14453,218.16498,32
100,0,127.21069,127.22424,54
100,90,36.47461,36.47442,48
100,180,308.23242,308.21896,48
100,270,218.18848,218.16322,40
101,0,127.25464,127.22296,62
101,90,36.4856,36.47627,52
101,180,308.23242,308.21582,48
101,270,218.17749,218.16734,40
102,0,127.26563,127.22507,62
102,90,36.47461,36.47855,46
102,180,308.24341,308.21167,48
102,270,218.19946,218.16467,42
103,0,127.24365,127.22601,58
103,90,36.47461,36.47337,48
103,180,308.24341,308.20535,50
103,270,218.18848,218.16341,42
104,0,127.21069,127.225,54
104,90,36.4856,36.47396,50
104,180,308.17749,308.20673,38
104,270,218.1665,218.16795,36
105,0,127.24365,127.22398,60
105,90,36.46362,36.47484,44
105,180,308.22144,308.20493,46
105,270,218.14453,218.16711,32
106,0,127.24365,127.2238,60
106,90,36.4856,36.47167,52
106,180,308.23242,308.20972,48
106,270,218.1665,218.16742,36
107,0,127.26563,127.22306,0
107,90,36.4856,36.47235,50
107,180,308.24341,308.21347,50
107,270,218.1665,218.16891,36
108,0,127.21069,127.22512,54
108,90,36.49658,36.47324,52
108,180,308.22144,308.21582,46
108,270,218.14453,218.16833,32
109,0,127.22168,127.22205,56
109,90,36.49658,36.47634,52
109,180,308.23242,308.20984,48
109,270,218.15552,218.16394,32
110,0,127.24365,127.21894,60
110,90,36.50757,36.47604,54
110,180,308.18848,308.20963,40
110,270,218.18848,218.16269,40
111,0,127.25464,127.22237,62
111,90,36.4856,36.48057,48
111,180,308.24341,308.20911,48
111,270,218.17749,218.16266,38
112,0,127.19971,127.22338,52
112,90,36.49658,36.47523,52
112,180,308.23242,308.20605,50
112,270,218.15552,218.16467,34
113,0,127.25464,127.22393,62
113,90,36.47461,36.46871,48
113,180,308.23242,308.20374,48
113,270,218.18848,218.16304,40
114,0,127.23267,127.22659,58
114,90,36.50757,36.47173,54
114,180,308.19946,308.19852,42
114,270,218.1665,218.16899,36
115,0,127.21069,127.21947,54
115,90,36.47461,36.47076,48
115,180,308.18848,308.1972,40
115,270,218.18848,218.16319,42
116,0,127.21069,127.21925,52
116,90,36.44165,36.47018,42
116,180,308.22144,308.2034,46
116,270,218.18848,218.16615,38
117,0,127.23267,127.22157,58
117,90,36.44165,36.46993,44
117,180,308.19946,308.19928,40
117,270,218.14453,218.16371,34
118,0,127.22168,127.20514,56
118,90,36.44165,36.47195,42
118,180,308.22144,308.20416,46
118,270,218.18848,218.16104,40
119,0,127.21069,127.21445,54
119,90,36.4856,36.47542,52
119,180,308.22144,308.19748,44
119,270,218.17749,218.16199,38
120,0,127.19971,127.20908,52
120,90,36.44165,36.46691,42
120,180,308.23242,308.19473,50
