Cycle,Supposed Position,Raw Angle,Filtered Angle,Field Status
57,180,253.169,253.173,0
57,270,162.817,162.836,0
58,0,73.883,73.894,0
58,90,344.158,344.18,0
58,180,253.158,253.176,0
58,270,162.817,162.829,0
59,0,73.883,73.889,0
59,90,344.18,344.183,0
59,180,253.169,253.184,0
59,270,162.839,162.835,0
60,0,73.883,73.891,0
60,90,344.18,344.181,0
60,180,253.18,253.177,0
60,270,162.806,162.831,0
61,0,73.883,73.893,0
61,90,344.18,344.187,0
61,180,253.18,253.186,0
61,270,162.828,162.825,0
62,0,73.883,73.884,0
62,90,344.202,344.189,0
62,180,253.191,253.183,0
62,270,162.806,162.831,0
63,0,73.883,73.901,0
63,90,344.147,344.187,0
63,180,253.169,253.175,0
63,270,162.817,162.824,0
64,0,73.905,73.901,0
64,90,344.202,344.194,0
64,180,253.158,253.175,0
64,270,162.806,162.828,0
65,0,73.905,73.902,0
65,90,344.202,344.187,0
65,180,253.158,253.176,0
65,270,162.828,162.833,0
66,0,73.905,73.905,0
66,90,344.202,344.182,0
66,180,253.169,253.177,0
66,270,162.828,162.835,0
67,0,73.894,73.896,0
67,90,344.169,344.183,0
67,180,253.158,253.186,0
67,270,162.817,162.84,0
68,0,73.894,73.9,0
68,90,344.18,344.178,0
68,180,253.158,253.183,0
68,270,162.828,162.831,0
69,0,73.872,73.892,0
69,90,344.191,344.195,0
69,180,253.18,253.188,0
69,270,162.817,162.826,0
70,0,73.872,73.893,0
70,90,344.18,344.194,0
70,180,253.158,253.185,0
70,270,162.817,162.835,0
71,0,73.894,73.896,0
71,90,344.18,344.188,0
71,180,253.169,253.177,0
71,270,162.817,162.828,0
72,0,73.894,73.906,0
72,90,344.169,344.196,0
72,180,253.158,253.172,0
72,270,162.806,162.825,0
73,0,73.894,73.899,0
73,90,344.202,344.192,0
73,180,253.169,253.176,0
73,270,162.817,162.83,0
74,0,73.883,73.902,0
74,90,344.202,344.186,0
74,180,253.147,253.172,0
74,270,162.817,162.831,0
75,0,73.883,73.909,0
75,90,344.191,344.19,0
75,180,253.158,253.173,0
75,270,162.817,162.836,0
76,0,73.894,73.902,0
76,90,344.191,344.187,0
76,180,253.169,253.176,0
76,270,162.817,162.834,0
77,0,73.905,73.896,0
77,90,344.18,344.194,0
77,180,253.18,253.186,0
77,270,162.817,162.826,0
78,0,73.905,73.89,0
78,90,344.18,344.191,0
78,180,253.18,253.182,0
