Designator,Footprint,Quantity,Value,LCSC Part #
C14,0603,1,100nF,
C15,0603,1,10uF,
C16,0603,1,1uF,
D11,TPD1E05U06DPYR,1,ESD321DPYR,C436349
"D12, D13, D14, D15",TPD1E05U06DPYR,4,TPD1E05U06DPYR,C436349
J4,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06_MountingPin,
R1,0603,1,22K,
R3,0603,1,0K,
U1,IC_AEAT-8800-Q24,1,AEAT-8800-Q24,
