Designator,Mid X,Mid Y,Rotation,Layer
C14,147.295,-90.09,180.0,top
C15,147.27,-88.59,180.0,top
C16,147.295,-91.59,180.0,top
D11,157.0,-91.7,270.0,top
D12,156.0,-91.7,270.0,top
D13,155.0,-91.72,270.0,top
D14,154.0,-91.72,270.0,top
D15,153.0,-91.72,270.0,top
H1,143.5,-87.85,0.0,top
H2,162.5,-87.85,0.0,top
J4,154.5,-86.8,180.0,top
R1,148.77,-85.75,270.0,top
R3,146.21,-85.35,0.0,top
U1,153.0,-87.85,270.0,bottom
