Designator,Mid X,Mid Y,Rotation,Layer
5V1,153.0,-99.0,0.0,top
C1,155.375,-92.225,270.0,top
C2,153.2,-85.65,0.0,top
C3,153.7,-95.9375,90.0,top
C4,155.3,-95.9,90.0,top
GND1,147.0,-99.0,0.0,top
J1,150.25,-77.05,90.0,bottom
J2,150.25,-79.2,90.0,bottom
U1,150.25,-90.45,90.0,top
U2,150.1875,-90.578,180.0,bottom
U3,150.25,-90.42,0.0,top
